task,topology_family,repeat,drift,feature_group,macro_f1,bal_acc,class_mae,adjacent_acc
scale,line,1,0.2,All,0.978925290556846,0.9791666666666666,0.020833333333333332,1.0
scale,line,1,0.4,Topological,0.9478537051374345,0.9479166666666665,0.052083333333333336,1.0
scale,line,1,0.4,Complexity,0.7500349702927362,0.75,0.3506944444444444,0.9375
scale,line,1,0.4,Operational,0.4226085879092752,0.4479166666666667,0.7048611111111112,0.8645833333333334
scale,line,1,0.4,All,0.9458567660839395,0.9479166666666666,0.052083333333333336,1.0
scale,line,1,0.6,Topological,0.9238085778046443,0.9236111111111112,0.0763888888888889,1.0
scale,line,1,0.6,Complexity,0.6925133587390144,0.6909722222222223,0.4861111111111111,0.8854166666666666
scale,line,1,0.6,Operational,0.34909849508063795,0.3819444444444445,0.8958333333333334,0.7743055555555556
scale,line,1,0.6,All,0.8949074074074074,0.9027777777777778,0.09722222222222222,1.0
scale,line,1,0.8,Topological,0.8856451220064798,0.8854166666666666,0.11458333333333333,1.0
scale,line,1,0.8,Complexity,0.5755086935788205,0.5659722222222222,0.7569444444444444,0.8125
scale,line,1,0.8,Operational,0.2835928893416988,0.3333333333333333,1.0729166666666667,0.7013888888888888
scale,line,1,0.8,All,0.8601501501501502,0.8680555555555557,0.13194444444444445,1.0
scale,line,1,1.0,Topological,0.8261275198249153,0.8229166666666666,0.18055555555555555,0.9965277777777778
scale,line,1,1.0,Complexity,0.5398776068352632,0.53125,0.8159722222222222,0.7881944444444444
scale,line,1,1.0,Operational,0.25061674022472474,0.2951388888888889,1.1736111111111112,0.65625
scale,line,1,1.0,All,0.8145881736685104,0.8229166666666666,0.1909722222222222,0.9861111111111112
scale,line,2,0.0,Topological,0.9718034109486416,0.9722222222222222,0.027777777777777776,1.0
scale,line,2,0.0,Complexity,0.8544469630420576,0.8576388888888888,0.15625,0.9895833333333334
scale,line,2,0.0,Operational,0.827915828473472,0.8263888888888888,0.2222222222222222,0.96875
scale,line,2,0.0,All,0.9653900709219858,0.9652777777777778,0.034722222222222224,1.0
scale,line,2,0.2,Topological,0.9648914627453208,0.9652777777777777,0.034722222222222224,1.0
scale,line,2,0.2,Complexity,0.7864580909999312,0.7881944444444443,0.2361111111111111,0.9861111111111112
scale,line,2,0.2,Operational,0.6363983282410514,0.6354166666666667,0.4305555555555556,0.9583333333333334
scale,line,2,0.2,All,0.9653900709219858,0.9652777777777778,0.034722222222222224,1.0
scale,line,2,0.4,Topological,0.9194028413450894,0.9201388888888888,0.0798611111111111,1.0
scale,line,2,0.4,Complexity,0.6952244141699647,0.6944444444444443,0.4618055555555556,0.8993055555555556
scale,line,2,0.4,Operational,0.4827219991768015,0.5,0.6631944444444444,0.8645833333333334
scale,line,2,0.4,All,0.9585106382978724,0.9583333333333334,0.041666666666666664,1.0
scale,line,2,0.6,Topological,0.8979699318852775,0.8993055555555555,0.10069444444444445,1.0
scale,line,2,0.6,Complexity,0.6916313128287842,0.6909722222222223,0.4930555555555556,0.8819444444444444
scale,line,2,0.6,Operational,0.41307688241637924,0.4375,0.8368055555555556,0.7777777777777778
scale,line,2,0.6,All,0.9586463838145164,0.9583333333333334,0.041666666666666664,1.0
scale,line,2,0.8,Topological,0.864935470854359,0.8645833333333334,0.13541666666666666,1.0
scale,line,2,0.8,Complexity,0.5818773919019554,0.576388888888889,0.6493055555555556,0.8611111111111112
scale,line,2,0.8,Operational,0.33194037682843835,0.375,1.0069444444444444,0.7048611111111112
scale,line,2,0.8,All,0.8997319770761821,0.8993055555555555,0.11458333333333333,0.9861111111111112
scale,line,2,1.0,Topological,0.8233038118310615,0.8194444444444445,0.18055555555555555,1.0
scale,line,2,1.0,Complexity,0.5642333199569862,0.5555555555555556,0.7430555555555556,0.8229166666666666
scale,line,2,1.0,Operational,0.32895359102265426,0.3819444444444444,1.1111111111111112,0.65625
scale,line,2,1.0,All,0.8283011674414106,0.8298611111111112,0.19444444444444445,0.9756944444444444
scale,line,3,0.0,Topological,0.9825166992505703,0.982638888888889,0.017361111111111112,1.0
scale,line,3,0.0,Complexity,0.8636138277952234,0.8645833333333334,0.1597222222222222,0.9791666666666666
scale,line,3,0.0,Operational,0.8447470818801578,0.8437500000000001,0.17708333333333334,0.9826388888888888
scale,line,3,0.0,All,0.9827101042985471,0.982638888888889,0.017361111111111112,1.0
scale,line,3,0.2,Topological,0.9790480391824178,0.9791666666666666,0.020833333333333332,1.0
scale,line,3,0.2,Complexity,0.8306287401696295,0.8333333333333334,0.1909722222222222,0.9756944444444444
scale,line,3,0.2,Operational,0.6766201753400548,0.6736111111111112,0.3541666666666667,0.9756944444444444
scale,line,3,0.2,All,0.9930525401650022,0.9930555555555555,0.006944444444444444,1.0
scale,line,3,0.4,Topological,0.9478110262214677,0.9479166666666666,0.052083333333333336,1.0
scale,line,3,0.4,Complexity,0.7437302034575946,0.7465277777777778,0.3020833333333333,0.9548611111111112
scale,line,3,0.4,Operational,0.4985744591449995,0.5138888888888888,0.5659722222222222,0.9270833333333334
scale,line,3,0.4,All,0.9823906252477682,0.9826388888888888,0.017361111111111112,1.0
scale,line,3,0.6,Topological,0.941117172675522,0.9409722222222222,0.059027777777777776,1.0
scale,line,3,0.6,Complexity,0.6836330794929225,0.6805555555555557,0.5347222222222222,0.8680555555555556
scale,line,3,0.6,Operational,0.4874622761955689,0.5138888888888888,0.6736111111111112,0.8298611111111112
scale,line,3,0.6,All,0.9681766071343976,0.96875,0.03125,1.0
scale,line,3,0.8,Topological,0.9043089892962016,0.9027777777777777,0.09722222222222222,1.0
scale,line,3,0.8,Complexity,0.6148535518528843,0.611111111111111,0.6666666666666666,0.8333333333333334
scale,line,3,0.8,Operational,0.4294475224507018,0.4548611111111111,0.7777777777777778,0.8090277777777778
scale,line,3,0.8,All,0.9336608487058098,0.9340277777777778,0.06944444444444445,0.9965277777777778
scale,line,3,1.0,Topological,0.8750222580272582,0.875,0.1284722222222222,0.9965277777777778
scale,line,3,1.0,Complexity,0.5743731471403349,0.576388888888889,0.6979166666666666,0.8263888888888888
scale,line,3,1.0,Operational,0.3858149438666005,0.4270833333333333,0.8993055555555556,0.7395833333333334
scale,line,3,1.0,All,0.8786716745730656,0.8819444444444443,0.125,0.9930555555555556
scale,line,4,0.0,Topological,0.9895731508634734,0.9895833333333334,0.010416666666666666,1.0
